trip_id,start_time,end_time,headway_secs,exact_times
DSKNDDIU_23_00,06:00:00,23:00:00,3600,0
OnwjHsww_06_00,06:00:00,23:00:00,3600,0
OnwjHsww_07_00,06:00:00,23:00:00,3600,0
OnwjHsww_08_00,06:00:00,23:00:00,3600,0
OnwjHsww_09_00,06:00:00,23:00:00,3600,0
OnwjHsww_10_00,06:00:00,23:00:00,3600,0
OnwjHsww_11_00,06:00:00,23:00:00,3600,0
OnwjHsww_12_00,06:00:00,23:00:00,3600,0
OnwjHsww_13_00,06:00:00,23:00:00,3600,0
OnwjHsww_14_00,06:00:00,23:00:00,3600,0
OnwjHsww_15_00,06:00:00,23:00:00,3600,0
OnwjHsww_16_00,06:00:00,23:00:00,3600,0
OnwjHsww_17_00,06:00:00,23:00:00,3600,0
OnwjHsww_18_00,06:00:00,23:00:00,3600,0
OnwjHsww_19_00,06:00:00,23:00:00,3600,0
OnwjHsww_20_00,06:00:00,23:00:00,3600,0
OnwjHsww_21_00,06:00:00,23:00:00,3600,0
OnwjHsww_22_00,06:00:00,23:00:00,3600,0
OnwjHsww_23_00,06:00:00,23:00:00,3600,0
sHyFNCQB_06_00,06:00:00,23:00:00,3600,0
sHyFNCQB_07_00,06:00:00,23:00:00,3600,0
sHyFNCQB_08_00,06:00:00,23:00:00,3600,0
sHyFNCQB_09_00,06:00:00,23:00:00,3600,0
sHyFNCQB_10_00,06:00:00,23:00:00,3600,0
sHyFNCQB_11_00,06:00:00,23:00:00,3600,0
sHyFNCQB_12_00,06:00:00,23:00:00,3600,0
sHyFNCQB_13_00,06:00:00,23:00:00,3600,0
sHyFNCQB_14_00,06:00:00,23:00:00,3600,0
sHyFNCQB_15_00,06:00:00,23:00:00,3600,0
sHyFNCQB_16_00,06:00:00,23:00:00,3600,0
sHyFNCQB_17_00,06:00:00,23:00:00,3600,0
sHyFNCQB_18_00,06:00:00,23:00:00,3600,0
sHyFNCQB_19_00,06:00:00,23:00:00,3600,0
sHyFNCQB_20_00,06:00:00,23:00:00,3600,0
sHyFNCQB_21_00,06:00:00,23:00:00,3600,0
sHyFNCQB_22_00,06:00:00,23:00:00,3600,0
sHyFNCQB_23_00,06:00:00,23:00:00,3600,0
ihsHbmFM_06_00,06:00:00,23:00:00,3600,0
ihsHbmFM_07_00,06:00:00,23:00:00,3600,0
ihsHbmFM_08_00,06:00:00,23:00:00,3600,0
ihsHbmFM_09_00,06:00:00,23:00:00,3600,0
ihsHbmFM_10_00,06:00:00,23:00:00,3600,0
ihsHbmFM_11_00,06:00:00,23:00:00,3600,0
ihsHbmFM_12_00,06:00:00,23:00:00,3600,0
ihsHbmFM_13_00,06:00:00,23:00:00,3600,0
ihsHbmFM_14_00,06:00:00,23:00:00,3600,0
ihsHbmFM_15_00,06:00:00,23:00:00,3600,0
ihsHbmFM_16_00,06:00:00,23:00:00,3600,0
ihsHbmFM_17_00,06:00:00,23:00:00,3600,0
ihsHbmFM_18_00,06:00:00,23:00:00,3600,0
ihsHbmFM_19_00,06:00:00,23:00:00,3600,0
ihsHbmFM_20_00,06:00:00,23:00:00,3600,0
ihsHbmFM_21_00,06:00:00,23:00:00,3600,0
ihsHbmFM_22_00,06:00:00,23:00:00,3600,0
ihsHbmFM_23_00,06:00:00,23:00:00,3600,0
WvIXAwhH_06_00,06:00:00,23:00:00,3600,0
WvIXAwhH_07_00,06:00:00,23:00:00,3600,0
WvIXAwhH_08_00,06:00:00,23:00:00,3600,0
WvIXAwhH_09_00,06:00:00,23:00:00,3600,0
WvIXAwhH_10_00,06:00:00,23:00:00,3600,0
WvIXAwhH_11_00,06:00:00,23:00:00,3600,0
WvIXAwhH_12_00,06:00:00,23:00:00,3600,0
WvIXAwhH_13_00,06:00:00,23:00:00,3600,0
WvIXAwhH_14_00,06:00:00,23:00:00,3600,0
WvIXAwhH_15_00,06:00:00,23:00:00,3600,0
WvIXAwhH_16_00,06:00:00,23:00:00,3600,0
WvIXAwhH_17_00,06:00:00,23:00:00,3600,0
WvIXAwhH_18_00,06:00:00,23:00:00,3600,0
WvIXAwhH_19_00,06:00:00,23:00:00,3600,0
WvIXAwhH_20_00,06:00:00,23:00:00,3600,0
WvIXAwhH_21_00,06:00:00,23:00:00,3600,0
