route_id,service_id,trip_id,trip_headsign,shape_id
86117,WD,WD860908,Washermenpet Metro,sh12
01101,WD,WD010909,Airport,sh11
86117,WD,WD860910,Washermenpet Metro,sh12
01101,WD,WD010911,Airport,sh11
86117,WD,WD860912,Washermenpet Metro,sh12
01101,WD,WD010913,Airport,sh11
86117,WD,WD860914,Washermenpet Metro,sh12
01101,WD,WD010915,Airport,sh11
86117,WD,WD860916,Washermenpet Metro,sh12
01101,WD,WD010917,Airport,sh11
24217,WD,WD241001,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD171002,St.Thomas Mount,sh7
24217,WD,WD241003,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD171004,St.Thomas Mount,sh7
24217,WD,WD241005,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
86117,WD,WD861101,Washermenpet Metro,sh12
01101,WD,WD011102,Airport,sh11
86117,WD,WD861103,Washermenpet Metro,sh12
01101,WD,WD011104,Airport,sh11
86117,WD,WD861105,Washermenpet Metro,sh12
01101,WD,WD011106,Airport,sh11
86117,WD,WD861107,Washermenpet Metro,sh12
01101,WD,WD011108,Airport,sh11
86117,WD,WD861109,Washermenpet Metro,sh12
01101,WD,WD011110,Airport,sh11
86117,WD,WD861111,Washermenpet Metro,sh12
01101,WD,WD011112,Airport,sh11
86117,WD,WD861113,Washermenpet Metro,sh12
01101,WD,WD011114,Airport,sh11
86117,WD,WD861115,Washermenpet Metro,sh12
01101,WD,WD011116,Airport,sh11
86117,WD,WD861117,Washermenpet Metro,sh12
23117,WD,WD231201,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD021202,Airport,sh13
23117,WD,WD231203,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD021204,Airport,sh13
23117,WD,WD231205,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD021206,Airport,sh13
23117,WD,WD231207,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD021208,Airport,sh13
23117,WD,WD231209,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD021210,Airport,sh13
23117,WD,WD231211,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD021212,Airport,sh13
23117,WD,WD231213,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD021214,Airport,sh13
23117,WD,WD231215,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD021216,Airport,sh13
23117,WD,WD231217,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
17201,WD,WD171301,St.Thomas Mount,sh7
